N,0,111.6,21.5
E,0,104,20.1
O,0,118.3,15.8
A,0,105.1,15.4
C,0,94.5,18.7
N,1,20.5,5.2
N,2,16.1,5.9
N,3,19.7,5.5
N,4,18,4.6
N,5,19.7,4.2
N,6,17.7,4.4
E,1,19.7,4.7
E,2,16.5,5.1
E,3,13.8,5
E,4,15.8,4.6
E,5,18.1,5.3
E,6,20.1,4.6
O,1,21.2,4.5
O,2,19.8,5.5
O,3,21.9,3.6
O,4,16.7,4
O,5,19.2,5.1
O,6,19.5,3.3
A,1,18.5,4.6
A,2,17.7,4.6
A,3,17.7,4.1
A,4,16.9,4
A,5,16,4.3
A,6,18.2,3.6
C,1,15.2,3.8
C,2,15.6,4.9
C,3,18.2,4.1
C,4,16.3,4.8
C,5,13.9,4.4
C,6,15.2,5
